UWID,DateTime,Depth,temp,wqx.id,nhd_id
ME,1995-09-25,0,16.1,,nhd_13293262
ME,1995-09-25,1,16.1,,nhd_13293262
ME,1995-09-25,2,16.1,,nhd_13293262
ME,1995-09-25,3,16.1,,nhd_13293262
ME,1995-09-25,4,16.1,,nhd_13293262
ME,1995-09-25,5,16.1,,nhd_13293262
ME,1995-09-25,6,16.1,,nhd_13293262
ME,1995-09-25,7,16.1,,nhd_13293262
ME,1995-09-25,8,16.1,,nhd_13293262
ME,1995-09-25,9,16.1,,nhd_13293262
ME,1995-09-25,10,16.1,,nhd_13293262
ME,1995-09-25,11,16.1,,nhd_13293262
ME,1995-09-25,12,16,,nhd_13293262
ME,1995-09-25,13,16,,nhd_13293262
ME,1995-09-25,13.5,15.4,,nhd_13293262
ME,1995-09-25,14,14,,nhd_13293262
ME,1995-09-25,14.5,13,,nhd_13293262
ME,1995-09-25,15,12,,nhd_13293262
ME,1995-09-25,16,12,,nhd_13293262
ME,1995-09-25,17,11.8,,nhd_13293262
ME,1995-09-25,18,11.6,,nhd_13293262
ME,1995-09-25,19,11.4,,nhd_13293262
ME,1995-09-25,20,11.3,,nhd_13293262
ME,1995-09-25,21,11.2,,nhd_13293262
ME,1995-09-25,22,11.1,,nhd_13293262
ME,1995-09-25,23,11.1,,nhd_13293262
ME,1995-09-25,24,11.1,,nhd_13293262
ME,1995-10-11,0,15.2,,nhd_13293262
ME,1995-10-11,1,15.2,,nhd_13293262
ME,1995-10-11,2,15.2,,nhd_13293262
ME,1995-10-11,3,15.1,,nhd_13293262
ME,1995-10-11,4,15.1,,nhd_13293262
ME,1995-10-11,5,15.1,,nhd_13293262
ME,1995-10-11,6,15.1,,nhd_13293262
ME,1995-10-11,7,15.1,,nhd_13293262
ME,1995-10-11,8,15,,nhd_13293262
ME,1995-10-11,9,15,,nhd_13293262
ME,1995-10-11,10,15,,nhd_13293262
ME,1995-10-11,11,15,,nhd_13293262
ME,1995-10-11,12,15,,nhd_13293262
ME,1995-10-11,13,15,,nhd_13293262
ME,1995-10-11,14,15,,nhd_13293262
ME,1995-10-11,15,15,,nhd_13293262
ME,1995-10-11,16,15,,nhd_13293262
ME,1995-10-11,17,15,,nhd_13293262
ME,1995-10-11,18,15,,nhd_13293262
ME,1995-10-11,19,15,,nhd_13293262
ME,1995-10-11,19.5,12.6,,nhd_13293262
ME,1995-10-11,20,12.5,,nhd_13293262
ME,1995-10-11,20.5,12.2,,nhd_13293262
ME,1995-10-11,21,11.9,,nhd_13293262
ME,1995-10-11,21.5,11.9,,nhd_13293262
ME,1995-10-11,22,11.8,,nhd_13293262
ME,1995-10-11,22.5,11.7,,nhd_13293262
ME,1995-10-25,0,11.4,,nhd_13293262
ME,1995-10-25,1,11.5,,nhd_13293262
ME,1995-10-25,2,11.5,,nhd_13293262
ME,1995-10-25,3,11.5,,nhd_13293262
ME,1995-10-25,4,11.5,,nhd_13293262
ME,1995-10-25,5,11.5,,nhd_13293262
ME,1995-10-25,6,11.5,,nhd_13293262
ME,1995-10-25,7,11.4,,nhd_13293262
ME,1995-10-25,8,11.4,,nhd_13293262
ME,1995-10-25,9,11.4,,nhd_13293262
ME,1995-10-25,10,11.4,,nhd_13293262
ME,1995-10-25,11,11.4,,nhd_13293262
ME,1995-10-25,12,11.4,,nhd_13293262
ME,1995-10-25,13,11.4,,nhd_13293262
ME,1995-10-25,14,11.4,,nhd_13293262
ME,1995-10-25,15,11.4,,nhd_13293262
ME,1995-10-25,16,11.4,,nhd_13293262
ME,1995-10-25,17,11.4,,nhd_13293262
ME,1995-10-25,18,11.4,,nhd_13293262
ME,1995-10-25,19,11.3,,nhd_13293262
ME,1995-10-25,20,11.2,,nhd_13293262
ME,1995-10-25,21,11.2,,nhd_13293262
ME,1995-10-25,22,11.2,,nhd_13293262
ME,1995-11-10,0,7.4,,nhd_13293262
ME,1995-11-10,1,7.4,,nhd_13293262
ME,1995-11-10,2,7.4,,nhd_13293262
ME,1995-11-10,3,7.4,,nhd_13293262
ME,1995-11-10,4,7.4,,nhd_13293262
ME,1995-11-10,5,7.4,,nhd_13293262
ME,1995-11-10,6,7.4,,nhd_13293262
ME,1995-11-10,7,7.4,,nhd_13293262
ME,1995-11-10,8,7.4,,nhd_13293262
ME,1995-11-10,9,7.4,,nhd_13293262
ME,1995-11-10,10,7.4,,nhd_13293262
ME,1995-11-10,11,7.4,,nhd_13293262
ME,1995-11-10,12,7.4,,nhd_13293262
ME,1995-11-10,13,7.4,,nhd_13293262
ME,1995-11-10,14,7.4,,nhd_13293262
ME,1995-11-10,15,7.4,,nhd_13293262
ME,1995-11-10,16,7.4,,nhd_13293262
ME,1995-11-10,17,7.4,,nhd_13293262
ME,1995-11-10,18,7.4,,nhd_13293262
ME,1995-11-10,19,7.4,,nhd_13293262
ME,1995-11-10,20,7.4,,nhd_13293262
ME,1995-11-10,21,7.4,,nhd_13293262
ME,1995-11-10,22,7.4,,nhd_13293262
ME,1995-11-10,23,7.4,,nhd_13293262
ME,1995-12-06,0,2.3,,nhd_13293262
